filename,width,height,class,xmin,ymin,xmax,ymax
mixed485.jpg,300,300,wallet,74,16,196,232
mixed1167.jpg,300,300,wallet,45,59,149,235
mixed1167.jpg,300,300,wallet,180,85,270,240
mixed1348.jpg,300,300,book,39,112,149,159
mixed1348.jpg,300,300,water_bottle,71,40,117,118
mixed1348.jpg,300,300,cent,165,123,209,176
mixed432.jpg,300,300,cent,14,103,92,250
mixed432.jpg,300,300,cent,158,92,228,268
mixed432.jpg,300,300,mug,98,86,160,163
mixed432.jpg,300,300,mug,230,74,300,158
mixed824.jpg,300,300,wallet,50,162,149,252
mixed824.jpg,300,300,wallet,152,133,263,226
mixed824.jpg,300,300,cent,68,8,125,127
mixed824.jpg,300,300,cent,157,12,202,134
purfume78.jpg,300,300,cent,46,15,255,280
mixed301.jpg,300,300,book,37,35,260,247
SmartPhone32.jpg,300,300,smartPhone,78,4,156,289
purfume51.jpg,300,300,cent,44,12,255,290
SmartPhone20.jpg,300,300,smartPhone,69,91,293,277
mixed1249.jpg,300,300,cent,66,134,102,234
mixed1249.jpg,300,300,cent,120,102,147,190
mixed1249.jpg,300,300,book,155,69,218,104
mixed1249.jpg,300,300,water_bottle,231,1,271,129
mixed1249.jpg,300,300,wallet,153,153,218,204
mixed1249.jpg,300,300,wallet,137,210,194,284
mixed631.jpg,300,300,cent,64,48,122,192
mixed631.jpg,300,300,cent,159,31,206,157
purfume55.jpg,300,300,cent,4,3,158,276
purfume55.jpg,300,300,cent,215,94,297,277
mixed1173.jpg,300,300,cent,20,63,122,258
mixed1173.jpg,300,300,cent,183,44,263,221
mixed933.jpg,300,300,mug,25,46,112,157
mixed933.jpg,300,300,mug,185,20,300,251
mixed1157.jpg,300,300,mug,1,102,89,268
mixed1157.jpg,300,300,mug,189,93,300,272
mixed1196.jpg,300,300,cent,6,114,84,213
mixed1196.jpg,300,300,cent,129,108,183,219
mixed1196.jpg,300,300,wallet,218,121,292,220
mixed1196.jpg,300,300,mug,72,27,127,110
mixed1196.jpg,300,300,mug,193,8,256,98
purfume59.jpg,300,300,cent,100,25,217,270
mixed579.jpg,300,300,mug,129,51,214,178
mixed579.jpg,300,300,mug,32,41,108,131
mixed579.jpg,300,300,cent,225,1,267,95
mixed1342.jpg,300,300,water_bottle,29,83,117,247
mixed1342.jpg,300,300,water_bottle,158,79,230,256
mixed1222.jpg,300,300,book,9,116,137,234
mixed1222.jpg,300,300,water_bottle,111,2,153,138
mixed1222.jpg,300,300,cent,168,139,208,227
mixed1222.jpg,300,300,cent,192,71,231,146
mixed1222.jpg,300,300,mug,243,70,292,134
mixed1222.jpg,300,300,wallet,249,158,300,218
mixed1350.jpg,300,300,water_bottle,6,76,90,228
mixed1350.jpg,300,300,water_bottle,107,51,159,176
mixed1350.jpg,300,300,book,189,93,299,136
mixed1350.jpg,300,300,wallet,103,206,197,278
mixed1350.jpg,300,300,wallet,170,163,257,205
mixed922.jpg,300,300,book,84,143,170,265
mixed922.jpg,300,300,water_bottle,47,8,99,146
mixed922.jpg,300,300,cent,167,79,192,149
mixed922.jpg,300,300,book,197,152,279,235
mixed650.jpg,300,300,water_bottle,212,35,266,225
mixed650.jpg,300,300,cent,96,133,137,222
mixed650.jpg,300,300,cent,140,100,167,168
mixed650.jpg,300,300,water_bottle,10,38,69,177
mixed378.jpg,300,300,mug,43,82,136,195
mixed378.jpg,300,300,mug,147,84,240,199
purfume117.jpg,300,300,cent,161,106,240,233
mixed187.jpg,300,300,mug,123,78,205,194
mixed187.jpg,300,300,mug,24,65,104,154
mixed187.jpg,300,300,cent,216,13,258,117
mixed892.jpg,300,300,mug,34,87,111,184
mixed892.jpg,300,300,mug,156,59,197,127
mixed892.jpg,300,300,mug,217,87,295,204
SmartPhone36.jpg,300,300,smartPhone,177,6,261,297
SmartPhone36.jpg,300,300,smartPhone,43,3,126,300
mixed926.jpg,300,300,water_bottle,31,67,87,161
mixed926.jpg,300,300,water_bottle,220,94,297,244
mixed926.jpg,300,300,cent,85,147,138,199
mixed926.jpg,300,300,cent,166,119,199,175
mixed948.jpg,300,300,book,10,84,178,183
mixed948.jpg,300,300,book,139,184,260,284
mixed948.jpg,300,300,cent,204,112,282,158
mixed948.jpg,300,300,water_bottle,114,1,192,73
mixed1375.jpg,300,300,book,24,5,300,227
purfume33.jpg,300,300,cent,48,13,247,293
mixed453.jpg,300,300,water_bottle,86,4,182,209
mixed175.jpg,300,300,wallet,36,189,119,285
mixed175.jpg,300,300,wallet,46,82,127,154
mixed175.jpg,300,300,book,150,26,272,232
purfume0.jpg,300,300,cent,40,7,228,286
mixed1349.jpg,300,300,cent,33,157,85,244
mixed1349.jpg,300,300,cent,83,107,119,184
mixed1349.jpg,300,300,water_bottle,143,19,189,194
mixed1349.jpg,300,300,water_bottle,205,29,269,231
SmartPhone88.jpg,300,300,smartPhone,62,28,227,277
mixed1064.jpg,300,300,cent,152,76,219,257
mixed1064.jpg,300,300,cent,7,85,88,244
mixed1064.jpg,300,300,mug,85,54,148,140
mixed1064.jpg,300,300,mug,226,32,296,135
purfume1.jpg,300,300,cent,102,112,197,217
mixed858.jpg,300,300,book,34,20,219,250
mixed335.jpg,300,300,water_bottle,73,9,174,218
mixed1199.jpg,300,300,wallet,51,84,134,156
mixed1199.jpg,300,300,wallet,42,191,128,290
mixed1199.jpg,300,300,book,155,31,274,236
purfume83.jpg,300,300,cent,166,41,275,285
purfume67.jpg,300,300,cent,172,19,289,286
purfume94.jpg,300,300,cent,159,43,296,274
mixed869.jpg,300,300,wallet,42,68,143,239
mixed869.jpg,300,300,wallet,178,92,264,235
mixed1324.jpg,300,300,cent,57,56,137,210
mixed1324.jpg,300,300,mug,142,17,207,108
mixed1324.jpg,300,300,cent,202,57,287,246
mixed1248.jpg,300,300,book,28,35,229,271
SmartPhone86.jpg,300,300,smartPhone,91,19,221,268
mixed1172.jpg,300,300,book,76,19,243,158
mixed1172.jpg,300,300,wallet,33,161,104,277
mixed1172.jpg,300,300,wallet,142,166,268,299
mixed1190.jpg,300,300,wallet,50,164,192,245
mixed1190.jpg,300,300,wallet,61,59,203,131
mixed392.jpg,300,300,mug,87,104,208,197
mixed147.jpg,300,300,book,23,166,204,258
mixed147.jpg,300,300,book,14,57,143,147
mixed147.jpg,300,300,book,200,90,300,187
mixed710.jpg,300,300,book,9,69,177,213
mixed710.jpg,300,300,book,183,110,298,201
mixed106.jpg,300,300,mug,59,112,147,169
mixed106.jpg,300,300,mug,132,89,300,237
mixed760.jpg,300,300,mug,134,85,292,234
mixed760.jpg,300,300,mug,36,102,124,165
mixed912.jpg,300,300,book,47,28,247,185
mixed1355.jpg,300,300,cent,41,42,135,235
mixed1355.jpg,300,300,cent,200,25,265,197
mixed705.jpg,300,300,water_bottle,14,14,89,155
mixed705.jpg,300,300,cent,105,76,142,140
mixed705.jpg,300,300,book,193,94,267,210
mixed705.jpg,300,300,cent,91,164,135,247
mixed595.jpg,300,300,cent,61,50,121,198
mixed595.jpg,300,300,cent,165,36,210,166
SmartPhone6.jpg,300,300,smartPhone,106,6,187,283
SmartPhone56.jpg,300,300,smartPhone,71,8,159,290
mixed193.jpg,300,300,book,20,38,231,218
SmartPhone53.jpg,300,300,smartPhone,102,44,217,285
purfume76.jpg,300,300,cent,1,24,131,283
mixed947.jpg,300,300,book,43,67,180,263
mixed947.jpg,300,300,book,166,78,259,198
purfume31.jpg,300,300,cent,166,45,287,262
mixed868.jpg,300,300,cent,1,102,33,170
mixed868.jpg,300,300,cent,165,77,191,145
mixed868.jpg,300,300,book,75,136,156,246
mixed868.jpg,300,300,book,200,87,267,191
mixed868.jpg,300,300,water_bottle,52,10,104,140
mixed451.jpg,300,300,book,22,24,260,273
mixed993.jpg,300,300,book,85,11,253,154
mixed993.jpg,300,300,wallet,37,156,111,266
mixed993.jpg,300,300,wallet,166,159,276,298
purfume122.jpg,300,300,cent,74,49,223,232
mixed1291.jpg,300,300,book,215,78,289,141
mixed1291.jpg,300,300,book,134,76,203,148
mixed1291.jpg,300,300,water_bottle,28,106,91,222
mixed1291.jpg,300,300,water_bottle,100,69,137,177
mixed1291.jpg,300,300,wallet,72,220,124,276
mixed1291.jpg,300,300,wallet,136,183,180,223
purfume88.jpg,300,300,cent,166,35,276,264
purfume47.jpg,300,300,cent,40,3,165,262
purfume61.jpg,300,300,cent,160,118,245,219
mixed123.jpg,300,300,book,60,102,170,281
